05/10/2023 07:53:08: fileFieldsCount1
05/10/2023 07:54:21: fileFieldsCount1
05/10/2023 07:55:15: fileFieldsCount1
05/10/2023 07:56:02: fileFieldsCount1
05/10/2023 11:16:27: fileFieldsCount1
05/10/2023 11:20:40: fileFieldsCount1
05/10/2023 11:23:06: fileFieldsCount1
05/10/2023 11:25:26: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:27:33: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:28:25: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:33:10: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:33:42: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:34:04: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:39:18: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:40:18: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:42:47: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:45:09: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 11:45:26: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 12:21:11: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 17:25:48: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 17:45:18: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 17:45:59: entity -deltaducon.Schemas.OrdemDePagamento
05/10/2023 17:48:46: entity -deltaducon.Schemas.OrdemDePagamento
